Unidade de Produção,Espécie,Volume Total (m³),Número de Árvores,Preço (R$/m³),Valor Estimado (R$)
AC_108,louro amarelo,0.042743906424711715,1,700.0,29.920734497298202
AC_108,louro preto,0.11223271955891193,1,700.0,78.56290369123835
AC_108,mamui,1.1866093483348572,1,650.0,771.2960764176572
AC_108,maparajuba vermelha,0.09962780876175595,1,650.0,64.75807569514137
AC_108,mororo vermelho,0.258442391589811,1,650.0,167.98755453337716
AC_108,morototo,0.37838650932712986,1,650.0,245.9512310626344
AC_108,morta,1.0819439637817045,4,600.0,649.1663782690227
AC_108,muiratinga grande,0.061518707624894406,1,650.0,39.987159956181365
AC_108,mulateirana,8.566696423056225,7,700.0,5996.687496139358
AC_108,mulungu,1.9859420445561713,2,650.0,1290.8623289615114
AC_108,murici vermelho,0.14075479536570834,1,600.0,84.452877219425
AC_108,murmuru,1.1845382576550558,12,600.0,710.7229545930335
AC_108,mutamba,0.20905436958001086,1,650.0,135.88534022700705
AC_108,ninhare,0.31204170803911785,1,650.0,202.8271102254266
AC_108,olacacea,0.08951349390755652,2,600.0,53.70809634453391
AC_108,pama preta,0.8110800021267943,4,650.0,527.2020013824163
AC_108,pau de remo,4.213581894771938,4,700.0,2949.5073263403565
AC_108,pau sangue,0.4922120871632268,3,650.0,319.93785665609744
AC_108,paxiubao,4.911184474115772,9,600.0,2946.710684469463
AC_108,paxiubinha,0.23421430691144002,3,600.0,140.528584146864
AC_108,pequi,3.241698991635364,2,650.0,2107.1043445629866
AC_108,priquiteira,0.197479323608385,1,650.0,128.36156034545024
AC_108,sapota,10.79387604602604,6,750.0,8095.4070345195305
AC_108,sapotinha,0.06063428015044253,1,750.0,45.4757101128319
AC_108,seringarana,0.15933219147884428,1,650.0,103.56592446124878
AC_108,ucuuba preta,0.1735118485274872,1,650.0,112.78270154286668
AC_108,ucuuba puna,0.09268693546229137,1,600.0,55.612161277374824
AC_108,ucuuba vermelha,4.51421904719959,6,650.0,2934.2423806797333
AC_108,ucuuba vermelha folha grande,0.09896639642999903,2,650.0,64.32815767949937
AC_108,uricuri,2.588044878779832,5,600.0,1552.8269272678992
AC_108,urtigao,0.7214892565075731,5,600.0,432.89355390454386
AC_108,urucurana vermelha,0.05948023037391464,1,650.0,38.662149743044516
AC_108,xixa amarelo,2.9180134472122115,2,700.0,2042.609413048548
AC_109,abiorana branca,0.31690004633021074,2,650.0,205.98503011463697
AC_109,angelim amarelo,0.03514743443730208,1,600.0,21.088460662381248
AC_109,angico,3.172189175900507,2,600.0,1903.3135055403043
AC_109,ata brava,0.4346178669063934,1,600.0,260.77072014383606
AC_109,burra leiteira,0.6059634471686651,3,650.0,393.87624065963234
AC_109,buxixu liso,0.47101125867243054,1,600.0,282.6067552034583
AC_109,cajarana,2.372576901221162,1,700.0,1660.8038308548134
AC_109,caripe vermelho,0.12819145352259342,1,700.0,89.7340174658154
AC_109,castanharana amarela,0.13839031160014292,1,600.0,83.03418696008575
AC_109,coaçu,0.07618729025735275,1,650.0,49.521738667279294
AC_109,copaiba amarela,0.10997850150336184,1,800.0,87.98280120268947
AC_109,copinho,1.3790744457623905,1,600.0,827.4446674574343
AC_109,cupiuba,0.2058227983300113,2,600.0,123.49367899800677
AC_109,envira ferro,0.053981702717183125,1,600.0,32.38902163030988
AC_109,envira fofa folha media,0.07401436031111185,1,600.0,44.40861618666711
AC_109,envira piaca,0.10253649715030543,1,650.0,66.64872314769853
AC_109,envira tania,1.2182260490915002,1,600.0,730.9356294549001
AC_109,flor de sao joao,1.5780931946396435,5,600.0,946.8559167837861
AC_109,freijo preto,0.9835792013933251,6,600.0,590.147520835995
AC_109,gameleira,2.840946418047249,2,650.0,1846.6151717307118
AC_109,inga branca,0.03444753266196123,1,600.0,20.66851959717674
AC_109,inga peluda,0.07066924844222472,1,600.0,42.401549065334834
AC_109,inga vermelha,0.27296036294864623,2,650.0,177.42423591662006
AC_109,marfim fedorento,1.0554863759407005,1,600.0,633.2918255644203
AC_109,mororo vermelho,0.08626373075000751,1,650.0,56.071424987504884
AC_109,morototo,0.5166076770521708,2,650.0,335.79499008391105
AC_109,muiratinga,0.24139700699027572,3,600.0,144.83820419416543
AC_109,mulateira,0.788256879268836,1,600.0,472.9541275613016
AC_109,mulateirana,0.18117751825356024,2,700.0,126.82426277749217
AC_109,murici azedo,0.10335304492657481,1,600.0,62.01182695594488
AC_109,murmuru,0.08376346597681746,1,600.0,50.258079586090474
AC_109,parica,5.056900681381171,1,600.0,3034.1404088287027
AC_109,paxiubao,1.4726263157004378,3,600.0,883.5757894202627
AC_109,piaca branca,0.7423663572296175,1,600.0,445.4198143377705
AC_109,samauma rosa,3.140448818389925,1,600.0,1884.269291033955
AC_109,seringai,0.21955070430297274,2,600.0,131.73042258178364
AC_109,seringueira,2.0458235002803926,2,600.0,1227.4941001682355
AC_109,sucuba,0.04792050408860415,1,600.0,28.75230245316249
AC_109,sucupira amarela,0.9715251471016702,2,600.0,582.9150882610021
AC_109,torem embauba,0.04265220955431754,1,600.0,25.591325732590523
