UP;Subunidade;Subparcela;Volume_m3;Num_arvores;Volume_m3_ha;Arvores_ha
AC_13;3;3;1.868363961;3;74.73455844;120
AC_13;3;4;1.351431658;10;54.05726634;400
AC_13;3;5;0.409408596;4;16.37634383;160
AC_13;3;6;4.43564528;5;177.4258112;200
AC_13;3;7;0.738582464;3;29.54329858;120
AC_13;3;8;3.525534187;9;141.0213675;360
AC_13;3;9;0.921650066;4;36.86600264;160
AC_13;3;10;0.173186769;3;6.92747077;120
AC_13;3;12;1.546079274;1;61.84317095;40
AC_13;4;1;0.227022131;3;9.080885256;120
AC_13;4;2;3.223854142;8;128.9541657;320
AC_13;4;3;1.93749198;7;77.49967919;280
AC_13;4;4;2.513398603;6;100.5359441;240
AC_13;4;5;1.37225319;6;54.89012759;240
AC_13;4;6;1.927894424;8;77.11577697;320
AC_13;4;7;1.939696978;4;77.58787912;160
AC_13;4;8;2.519777218;10;100.7910887;400
AC_13;4;9;4.518095856;10;180.7238342;400
AC_13;4;10;0.6568516;6;26.274064;240
AC_13;4;12;1.676820466;1;67.07281864;40
AC_13;4;15;5.956951746;1;238.2780698;40
AC_13;4;16;8.355644149;4;334.225766;160
AC_13;4;19;2.78674953;1;111.4699812;40
AC_130;1;1;1.737058653;6;69.48234613;240
AC_130;1;2;1.254496853;5;50.1798741;200
AC_130;1;3;0.586761133;5;23.47044531;200
AC_130;1;4;0.931306474;6;37.25225897;240
AC_130;1;5;3.153780863;6;126.1512345;240
AC_130;1;6;1.214732823;6;48.58931293;240
AC_130;1;7;1.687657025;6;67.50628102;240
AC_130;1;8;0.337018394;4;13.48073578;160
AC_130;1;9;0.332225687;3;13.28902746;120
AC_130;1;10;0.355203056;1;14.20812226;40
AC_130;1;12;2.700749545;1;108.0299818;40
AC_130;1;13;7.623921033;1;304.9568413;40
AC_130;1;14;4.566304243;1;182.6521697;40
AC_130;1;19;1.693613007;1;67.74452027;40
AC_130;1;20;1.347183023;1;53.88732092;40
AC_130;2;1;1.569969624;5;62.79878498;200
